sample	SampleName	Substrate	Location	Time	Substrate_Time	Substrate_Location	Location_Time	complete_name	Substrate_Location_Time
Bch.16S.V3V4.001	S_C_a_T0	C	Santa_Croce	t1	C_t1	C_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-001_S001_L001_R1_001	C_Santa_Croce_t1
Bch.16S.V3V4.002	S_C_b_T0	C	Santa_Croce	t1	C_t1	C_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-002_S002_L001_R1_001	C_Santa_Croce_t1
Bch.16S.V3V4.003	S_C_c_T0	C	Santa_Croce	t1	C_t1	C_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-003_S003_L001_R1_001	C_Santa_Croce_t1
Bch.16S.V3V4.004	S_B_a_T0	BB	Santa_Croce	t1	BB_t1	BB_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-004_S004_L001_R1_001	BB_Santa_Croce_t1
Bch.16S.V3V4.005	S_B_b_T0	BB	Santa_Croce	t1	BB_t1	BB_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-005_S005_L001_R1_001	BB_Santa_Croce_t1
Bch.16S.V3V4.006	S_B_c_T0	BB	Santa_Croce	t1	BB_t1	BB_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-006_S006_L001_R1_001	BB_Santa_Croce_t1
Bch.16S.V3V4.007	S_BB_a_T0	B	Santa_Croce	t1	B_t1	B_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-007_S007_L001_R1_001	B_Santa_Croce_t1
Bch.16S.V3V4.008	S_BB_b_T0	B	Santa_Croce	t1	B_t1	B_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-008_S008_L001_R1_001	B_Santa_Croce_t1
Bch.16S.V3V4.009	S_BB_c_T0	B	Santa_Croce	t1	B_t1	B_Santa_Croce	Santa_Croce_t1	Bch-16S-V3V4-009_S009_L001_R1_001	B_Santa_Croce_t1
Bch.16S.V3V4.010	G_C_a_T0	C	Grignano	t1	C_t1	C_Grignano	Grignano_t1	Bch-16S-V3V4-010_S010_L001_R1_001	C_Grignano_t1
Bch.16S.V3V4.011	G_C_b_T0	C	Grignano	t1	C_t1	C_Grignano	Grignano_t1	Bch-16S-V3V4-011_S011_L001_R1_001	C_Grignano_t1
Bch.16S.V3V4.012	G_C_c_T0	C	Grignano	t1	C_t1	C_Grignano	Grignano_t1	Bch-16S-V3V4-012_S012_L001_R1_001	C_Grignano_t1
Bch.16S.V3V4.013	G_B_a_T0	BB	Grignano	t1	BB_t1	BB_Grignano	Grignano_t1	Bch-16S-V3V4-013_S013_L001_R1_001	BB_Grignano_t1
Bch.16S.V3V4.014	G_B_b_T0	BB	Grignano	t1	BB_t1	BB_Grignano	Grignano_t1	Bch-16S-V3V4-014_S014_L001_R1_001	BB_Grignano_t1
Bch.16S.V3V4.015	G_B_c_T0	BB	Grignano	t1	BB_t1	BB_Grignano	Grignano_t1	Bch-16S-V3V4-015_S015_L001_R1_001	BB_Grignano_t1
Bch.16S.V3V4.016	G_BB_a_T0	B	Grignano	t1	B_t1	B_Grignano	Grignano_t1	Bch-16S-V3V4-016_S016_L001_R1_001	B_Grignano_t1
Bch.16S.V3V4.017	G_BB_b_T0	B	Grignano	t1	B_t1	B_Grignano	Grignano_t1	Bch-16S-V3V4-017_S017_L001_R1_001	B_Grignano_t1
Bch.16S.V3V4.018	G_BB_c_T0	B	Grignano	t1	B_t1	B_Grignano	Grignano_t1	Bch-16S-V3V4-018_S018_L001_R1_001	B_Grignano_t1
Bch.16S.V3V4.019	M_C_a_T0	C	Miramare	t1	C_t1	C_Miramare	Miramare_t1	Bch-16S-V3V4-019_S019_L001_R1_001	C_Miramare_t1
Bch.16S.V3V4.020	M_C_b_T0	C	Miramare	t1	C_t1	C_Miramare	Miramare_t1	Bch-16S-V3V4-020_S020_L001_R1_001	C_Miramare_t1
Bch.16S.V3V4.021	M_C_c_T0	C	Miramare	t1	C_t1	C_Miramare	Miramare_t1	Bch-16S-V3V4-021_S021_L001_R1_001	C_Miramare_t1
Bch.16S.V3V4.022	M_B_a_T0	BB	Miramare	t1	BB_t1	BB_Miramare	Miramare_t1	Bch-16S-V3V4-022_S022_L001_R1_001	BB_Miramare_t1
