.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Bch-16S-V3V4-001-2_S1_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-001-2_S1_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-002-2_S2_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-002-2_S2_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-003-2_S3_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-003-2_S3_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-004-2_S4_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-004-2_S4_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-005-2_S5_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-005-2_S5_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-006-2_S6_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-006-2_S6_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-007-2_S7_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-007-2_S7_L002_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-008-2_S8_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-008-2_S8_L002_R2_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-009-2_S9_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-009-2_S9_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-010-2_S10_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-010-2_S10_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-011-2_S11_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-011-2_S11_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-012-2_S12_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-012-2_S12_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-013-2_S13_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-013-2_S13_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-014-2_S14_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-014-2_S14_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-015-2_S15_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-015-2_S15_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-016-2_S16_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-016-2_S16_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-017-2_S17_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-017-2_S17_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-018-2_S18_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-018-2_S18_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-019-2_S19_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-019-2_S19_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-020-2_S20_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-020-2_S20_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-021-2_S21_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-021-2_S21_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-022-2_S22_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-022-2_S22_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-023-2_S23_L002_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-023-2_S23_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-024-2_S24_L002_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Bch-16S-V3V4-024-2_S24_L002_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
