Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Bch-16S-V3V4-001-2_S1_L002_R1_001	2.119207728227664	51.33895397374384
Bch-16S-V3V4-001-2_S1_L002_R2_001	1.888938836545783	61.411153821454455
Bch-16S-V3V4-002-2_S2_L002_R1_001	1.9666016783928117	51.889604701760334
Bch-16S-V3V4-002-2_S2_L002_R2_001	2.1262467859060212	59.41270379475008
Bch-16S-V3V4-003-2_S3_L002_R1_001	2.1478857732451697	53.72230995237406
Bch-16S-V3V4-003-2_S3_L002_R2_001	1.9509647870044733	60.24649726009299
Bch-16S-V3V4-004-2_S4_L002_R1_001	1.8790176363936046	54.2190635937909
Bch-16S-V3V4-004-2_S4_L002_R2_001	2.203822026585482	58.98544682418871
Bch-16S-V3V4-005-2_S5_L002_R1_001	1.6864117374256926	55.339601163624096
Bch-16S-V3V4-005-2_S5_L002_R2_001	1.820481470551035	58.66520510982756
Bch-16S-V3V4-006-2_S6_L002_R1_001	2.2048765408246065	55.00908072182078
Bch-16S-V3V4-006-2_S6_L002_R2_001	2.1778275822095137	60.85088295529193
Bch-16S-V3V4-007-2_S7_L002_R1_001	2.6810698249495672	59.82429882215136
Bch-16S-V3V4-007-2_S7_L002_R2_001	2.1669811934665195	64.81291078284636
Bch-16S-V3V4-008-2_S8_L002_R1_001	2.072795694573706	54.228543681463194
Bch-16S-V3V4-008-2_S8_L002_R2_001	2.0384008416622827	63.82875409703395
Bch-16S-V3V4-009-2_S9_L002_R1_001	1.796877728495093	52.67348863199805
Bch-16S-V3V4-009-2_S9_L002_R2_001	2.2151014563615408	59.00708972164985
Bch-16S-V3V4-010-2_S10_L002_R1_001	1.7947931094541805	57.25423194632208
Bch-16S-V3V4-010-2_S10_L002_R2_001	2.4442030007215667	58.34653440711282
Bch-16S-V3V4-011-2_S11_L002_R1_001	1.4769837562924906	52.38362136073486
Bch-16S-V3V4-011-2_S11_L002_R2_001	1.882816959883751	60.94348435310603
Bch-16S-V3V4-012-2_S12_L002_R1_001	2.4092757114892334	56.23722761202056
Bch-16S-V3V4-012-2_S12_L002_R2_001	2.22427775507131	57.338610794415644
Bch-16S-V3V4-013-2_S13_L002_R1_001	1.5256633676388387	52.67484299477197
Bch-16S-V3V4-013-2_S13_L002_R2_001	2.050932167165357	56.74958077138066
Bch-16S-V3V4-014-2_S14_L002_R1_001	1.424249476378869	54.108680474749825
Bch-16S-V3V4-014-2_S14_L002_R2_001	2.1608098673493137	59.17849662555271
Bch-16S-V3V4-015-2_S15_L002_R1_001	1.867674924556109	56.53379184504176
Bch-16S-V3V4-015-2_S15_L002_R2_001	2.2589304512597375	60.80075794792617
Bch-16S-V3V4-016-2_S16_L002_R1_001	1.9285661098562883	54.85699156924553
Bch-16S-V3V4-016-2_S16_L002_R2_001	2.2628178080038386	57.60133038794708
Bch-16S-V3V4-017-2_S17_L002_R1_001	2.641836952218534	55.4641106069373
Bch-16S-V3V4-017-2_S17_L002_R2_001	1.9703383378505954	58.01382586716204
Bch-16S-V3V4-018-2_S18_L002_R1_001	1.7891959047092219	57.53720312315798
Bch-16S-V3V4-018-2_S18_L002_R2_001	2.1392362591024097	59.840577475900716
Bch-16S-V3V4-019-2_S19_L002_R1_001	1.7012481836806526	55.80184294365574
Bch-16S-V3V4-019-2_S19_L002_R2_001	2.1840958114096445	61.46785678829613
Bch-16S-V3V4-020-2_S20_L002_R1_001	2.196621244035593	58.258823023685686
Bch-16S-V3V4-020-2_S20_L002_R2_001	2.460989554227744	61.241026522804454
Bch-16S-V3V4-021-2_S21_L002_R1_001	1.1480514923572886	55.72709927849295
Bch-16S-V3V4-021-2_S21_L002_R2_001	2.379438145573368	59.85328625627755
Bch-16S-V3V4-022-2_S22_L002_R1_001	1.8621181222404815	57.610826222107825
Bch-16S-V3V4-022-2_S22_L002_R2_001	2.2650325697428078	62.52796642049616
Bch-16S-V3V4-023-2_S23_L002_R1_001	2.107827194153997	57.905043976499734
