Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
Bch-16S-V3V4-001-2_S1_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 4.0)	(18.0, 9.0)	(19.0, 8.0)	(20.0, 19.0)	(21.0, 44.0)	(22.0, 172.0)	(23.0, 387.0)	(24.0, 825.0)	(25.0, 1510.0)	(26.0, 2349.0)	(27.0, 3285.0)	(28.0, 4612.0)	(29.0, 6432.0)	(30.0, 8549.0)	(31.0, 11402.0)	(32.0, 16136.0)	(33.0, 21817.0)	(34.0, 21384.0)	(35.0, 9206.0)	(36.0, 847.0)	(37.0, 1.0)
Bch-16S-V3V4-001-2_S1_L002_R2_001	(12.0, 10.0)	(13.0, 55.0)	(14.0, 86.0)	(15.0, 97.0)	(16.0, 44.0)	(17.0, 32.0)	(18.0, 20.0)	(19.0, 34.0)	(20.0, 43.0)	(21.0, 58.0)	(22.0, 94.0)	(23.0, 155.0)	(24.0, 194.0)	(25.0, 234.0)	(26.0, 284.0)	(27.0, 443.0)	(28.0, 740.0)	(29.0, 1214.0)	(30.0, 1966.0)	(31.0, 3255.0)	(32.0, 5496.0)	(33.0, 8741.0)	(34.0, 15353.0)	(35.0, 33267.0)	(36.0, 37051.0)	(37.0, 37.0)										
Bch-16S-V3V4-002-2_S2_L002_R1_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 7.0)	(20.0, 29.0)	(21.0, 56.0)	(22.0, 163.0)	(23.0, 348.0)	(24.0, 513.0)	(25.0, 478.0)	(26.0, 863.0)	(27.0, 1408.0)	(28.0, 1969.0)	(29.0, 2739.0)	(30.0, 3582.0)	(31.0, 5134.0)	(32.0, 7238.0)	(33.0, 11401.0)	(34.0, 18883.0)	(35.0, 38234.0)	(36.0, 48450.0)	(37.0, 53.0)
Bch-16S-V3V4-002-2_S2_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 26.0)	(14.0, 112.0)	(15.0, 118.0)	(16.0, 82.0)	(17.0, 48.0)	(18.0, 28.0)	(19.0, 39.0)	(20.0, 72.0)	(21.0, 113.0)	(22.0, 230.0)	(23.0, 452.0)	(24.0, 783.0)	(25.0, 449.0)	(26.0, 647.0)	(27.0, 885.0)	(28.0, 1368.0)	(29.0, 2206.0)	(30.0, 3255.0)	(31.0, 5204.0)	(32.0, 7949.0)	(33.0, 11905.0)	(34.0, 18951.0)	(35.0, 37672.0)	(36.0, 48877.0)	(37.0, 83.0)
Bch-16S-V3V4-003-2_S3_L002_R1_001	(2.0, 32.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 9.0)	(18.0, 22.0)	(19.0, 36.0)	(20.0, 113.0)	(21.0, 238.0)	(22.0, 677.0)	(23.0, 1443.0)	(24.0, 1478.0)	(25.0, 737.0)	(26.0, 1207.0)	(27.0, 1757.0)	(28.0, 2436.0)	(29.0, 3307.0)	(30.0, 4476.0)	(31.0, 5981.0)	(32.0, 8700.0)	(33.0, 13665.0)	(34.0, 21788.0)	(35.0, 43552.0)	(36.0, 47251.0)	(37.0, 40.0)
Bch-16S-V3V4-003-2_S3_L002_R2_001	(2.0, 23.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 51.0)	(14.0, 108.0)	(15.0, 101.0)	(16.0, 69.0)	(17.0, 42.0)	(18.0, 32.0)	(19.0, 46.0)	(20.0, 91.0)	(21.0, 190.0)	(22.0, 432.0)	(23.0, 1091.0)	(24.0, 2659.0)	(25.0, 526.0)	(26.0, 738.0)	(27.0, 1091.0)	(28.0, 1576.0)	(29.0, 2446.0)	(30.0, 3763.0)	(31.0, 5860.0)	(32.0, 8764.0)	(33.0, 13337.0)	(34.0, 21088.0)	(35.0, 41920.0)	(36.0, 52783.0)	(37.0, 113.0)
Bch-16S-V3V4-004-2_S4_L002_R1_001	(2.0, 6.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 9.0)	(21.0, 31.0)	(22.0, 97.0)	(23.0, 249.0)	(24.0, 306.0)	(25.0, 384.0)	(26.0, 686.0)	(27.0, 1056.0)	(28.0, 1534.0)	(29.0, 1956.0)	(30.0, 2690.0)	(31.0, 3490.0)	(32.0, 5176.0)	(33.0, 8016.0)	(34.0, 13222.0)	(35.0, 26908.0)	(36.0, 37264.0)	(37.0, 49.0)
Bch-16S-V3V4-004-2_S4_L002_R2_001	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 5.0)	(13.0, 28.0)	(14.0, 70.0)	(15.0, 84.0)	(16.0, 58.0)	(17.0, 29.0)	(18.0, 18.0)	(19.0, 39.0)	(20.0, 65.0)	(21.0, 109.0)	(22.0, 183.0)	(23.0, 283.0)	(24.0, 542.0)	(25.0, 403.0)	(26.0, 547.0)	(27.0, 741.0)	(28.0, 1140.0)	(29.0, 1701.0)	(30.0, 2695.0)	(31.0, 4070.0)	(32.0, 5882.0)	(33.0, 8963.0)	(34.0, 13715.0)	(35.0, 27500.0)	(36.0, 34196.0)	(37.0, 68.0)
Bch-16S-V3V4-005-2_S5_L002_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 25.0)	(21.0, 48.0)	(22.0, 133.0)	(23.0, 325.0)	(24.0, 460.0)	(25.0, 460.0)	(26.0, 770.0)	(27.0, 1258.0)	(28.0, 1727.0)	(29.0, 2285.0)	(30.0, 3086.0)	(31.0, 4195.0)	(32.0, 5771.0)	(33.0, 9235.0)	(34.0, 15285.0)	(35.0, 31511.0)	(36.0, 41967.0)	(37.0, 41.0)
Bch-16S-V3V4-005-2_S5_L002_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 10.0)	(13.0, 40.0)	(14.0, 92.0)	(15.0, 99.0)	(16.0, 43.0)	(17.0, 37.0)	(18.0, 27.0)	(19.0, 29.0)	(20.0, 69.0)	(21.0, 129.0)	(22.0, 208.0)	(23.0, 378.0)	(24.0, 824.0)	(25.0, 465.0)	(26.0, 742.0)	(27.0, 1050.0)	(28.0, 1405.0)	(29.0, 2282.0)	(30.0, 3505.0)	(31.0, 4945.0)	(32.0, 7399.0)	(33.0, 10879.0)	(34.0, 17010.0)	(35.0, 32157.0)	(36.0, 34706.0)	(37.0, 64.0)
Bch-16S-V3V4-006-2_S6_L002_R1_001	(2.0, 13.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 31.0)	(21.0, 67.0)	(22.0, 149.0)	(23.0, 367.0)	(24.0, 436.0)	(25.0, 481.0)	(26.0, 825.0)	(27.0, 1220.0)	(28.0, 1784.0)	(29.0, 2476.0)	(30.0, 3300.0)	(31.0, 4546.0)	(32.0, 6539.0)	(33.0, 10256.0)	(34.0, 16819.0)	(35.0, 33790.0)	(36.0, 46218.0)	(37.0, 60.0)
Bch-16S-V3V4-006-2_S6_L002_R2_001	(2.0, 9.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 22.0)	(14.0, 91.0)	(15.0, 110.0)	(16.0, 55.0)	(17.0, 32.0)	(18.0, 25.0)	(19.0, 44.0)	(20.0, 70.0)	(21.0, 123.0)	(22.0, 244.0)	(23.0, 401.0)	(24.0, 740.0)	(25.0, 416.0)	(26.0, 673.0)	(27.0, 921.0)	(28.0, 1312.0)	(29.0, 2084.0)	(30.0, 3244.0)	(31.0, 4925.0)	(32.0, 7635.0)	(33.0, 11069.0)	(34.0, 17714.0)	(35.0, 35228.0)	(36.0, 42137.0)	(37.0, 62.0)
