Sample	Unique Reads	Duplicate Reads
Bch-16S-V3V4-001-2_S1_L002_R1_001	17299.0	91704.0
Bch-16S-V3V4-001-2_S1_L002_R2_001	10756.0	98247.0
Bch-16S-V3V4-002-2_S2_L002_R1_001	15745.0	125819.0
Bch-16S-V3V4-002-2_S2_L002_R2_001	13539.0	128025.0
Bch-16S-V3V4-003-2_S3_L002_R1_001	15343.0	143604.0
Bch-16S-V3V4-003-2_S3_L002_R2_001	13181.0	145766.0
Bch-16S-V3V4-004-2_S4_L002_R1_001	11854.0	91285.0
Bch-16S-V3V4-004-2_S4_L002_R2_001	10964.0	92175.0
Bch-16S-V3V4-005-2_S5_L002_R1_001	12883.0	105712.0
Bch-16S-V3V4-005-2_S5_L002_R2_001	12552.0	106043.0
Bch-16S-V3V4-006-2_S6_L002_R1_001	13335.0	116060.0
Bch-16S-V3V4-006-2_S6_L002_R2_001	12114.0	117281.0
Bch-16S-V3V4-007-2_S7_L002_R1_001	13756.0	139914.0
Bch-16S-V3V4-007-2_S7_L002_R2_001	12239.0	141431.0
Bch-16S-V3V4-008-2_S8_L002_R1_001	13589.0	85263.0
Bch-16S-V3V4-008-2_S8_L002_R2_001	9309.0	89543.0
Bch-16S-V3V4-009-2_S9_L002_R1_001	12907.0	101625.0
Bch-16S-V3V4-009-2_S9_L002_R2_001	11138.0	103394.0
Bch-16S-V3V4-010-2_S10_L002_R1_001	12681.0	107890.0
Bch-16S-V3V4-010-2_S10_L002_R2_001	12269.0	108302.0
Bch-16S-V3V4-011-2_S11_L002_R1_001	14938.0	81407.0
Bch-16S-V3V4-011-2_S11_L002_R2_001	9437.0	86908.0
Bch-16S-V3V4-012-2_S12_L002_R1_001	6559.0	39928.0
Bch-16S-V3V4-012-2_S12_L002_R2_001	6239.0	40248.0
Bch-16S-V3V4-013-2_S13_L002_R1_001	14072.0	107580.0
Bch-16S-V3V4-013-2_S13_L002_R2_001	11824.0	109828.0
Bch-16S-V3V4-014-2_S14_L002_R1_001	9750.0	76190.0
Bch-16S-V3V4-014-2_S14_L002_R2_001	9334.0	76606.0
Bch-16S-V3V4-015-2_S15_L002_R1_001	12039.0	101953.0
Bch-16S-V3V4-015-2_S15_L002_R2_001	11219.0	102773.0
Bch-16S-V3V4-016-2_S16_L002_R1_001	12913.0	107954.0
Bch-16S-V3V4-016-2_S16_L002_R2_001	11643.0	109224.0
Bch-16S-V3V4-017-2_S17_L002_R1_001	13605.0	117743.0
Bch-16S-V3V4-017-2_S17_L002_R2_001	12731.0	118617.0
Bch-16S-V3V4-018-2_S18_L002_R1_001	12578.0	97695.0
Bch-16S-V3V4-018-2_S18_L002_R2_001	10595.0	99678.0
Bch-16S-V3V4-019-2_S19_L002_R1_001	12082.0	98719.0
Bch-16S-V3V4-019-2_S19_L002_R2_001	10388.0	100413.0
Bch-16S-V3V4-020-2_S20_L002_R1_001	9731.0	83321.0
Bch-16S-V3V4-020-2_S20_L002_R2_001	9166.0	83886.0
Bch-16S-V3V4-021-2_S21_L002_R1_001	11523.0	79675.0
Bch-16S-V3V4-021-2_S21_L002_R2_001	9093.0	82105.0
Bch-16S-V3V4-022-2_S22_L002_R1_001	10078.0	90936.0
Bch-16S-V3V4-022-2_S22_L002_R2_001	10155.0	90859.0
Bch-16S-V3V4-023-2_S23_L002_R1_001	12946.0	131563.0
Bch-16S-V3V4-023-2_S23_L002_R2_001	12680.0	131829.0
Bch-16S-V3V4-024-2_S24_L002_R1_001	7309.0	56845.0
Bch-16S-V3V4-024-2_S24_L002_R2_001	7671.0	56483.0
Bch-16S-V3V4-025-2_S25_L002_R1_001	8583.0	97062.0
Bch-16S-V3V4-025-2_S25_L002_R2_001	8466.0	97179.0
Bch-16S-V3V4-026-2_S26_L002_R1_001	12259.0	112010.0
Bch-16S-V3V4-026-2_S26_L002_R2_001	12288.0	111981.0
Bch-16S-V3V4-027-2_S27_L002_R1_001	12412.0	102199.0
Bch-16S-V3V4-027-2_S27_L002_R2_001	12433.0	102178.0
Bch-16S-V3V4-028-2_S28_L002_R1_001	13955.0	111792.0
Bch-16S-V3V4-028-2_S28_L002_R2_001	13717.0	112030.0
Bch-16S-V3V4-029-2_S29_L002_R1_001	12363.0	89194.0
Bch-16S-V3V4-029-2_S29_L002_R2_001	12067.0	89490.0
Bch-16S-V3V4-030-2_S30_L002_R1_001	10794.0	70114.0
Bch-16S-V3V4-030-2_S30_L002_R2_001	10962.0	69946.0
Bch-16S-V3V4-031-2_S31_L002_R1_001	16006.0	65098.0
Bch-16S-V3V4-031-2_S31_L002_R2_001	9353.0	71751.0
Bch-16S-V3V4-032-2_S32_L002_R1_001	12209.0	89792.0
Bch-16S-V3V4-032-2_S32_L002_R2_001	12174.0	89827.0
Bch-16S-V3V4-033-2_S33_L002_R1_001	12893.0	99898.0
Bch-16S-V3V4-033-2_S33_L002_R2_001	11899.0	100892.0
Bch-16S-V3V4-034-2_S34_L002_R1_001	12748.0	100133.0
Bch-16S-V3V4-034-2_S34_L002_R2_001	12540.0	100341.0
Bch-16S-V3V4-035-2_S35_L002_R1_001	14726.0	92256.0
Bch-16S-V3V4-035-2_S35_L002_R2_001	12450.0	94532.0
Bch-16S-V3V4-036-2_S36_L002_R1_001	11032.0	84764.0
Bch-16S-V3V4-036-2_S36_L002_R2_001	11200.0	84596.0
Bch-16S-V3V4-037-2_S37_L002_R1_001	17808.0	80865.0
Bch-16S-V3V4-037-2_S37_L002_R2_001	11827.0	86846.0
Bch-16S-V3V4-038-2_S38_L002_R1_001	14651.0	116443.0
Bch-16S-V3V4-038-2_S38_L002_R2_001	12918.0	118176.0
Bch-16S-V3V4-039-2_S39_L002_R1_001	11432.0	88973.0
Bch-16S-V3V4-039-2_S39_L002_R2_001	10883.0	89522.0
Bch-16S-V3V4-040-2_S40_L002_R1_001	12038.0	85121.0
Bch-16S-V3V4-040-2_S40_L002_R2_001	11405.0	85754.0
Bch-16S-V3V4-041-2_S41_L002_R1_001	15958.0	110295.0
Bch-16S-V3V4-041-2_S41_L002_R2_001	11987.0	114266.0
Bch-16S-V3V4-042-2_S42_L002_R1_001	11776.0	97604.0
Bch-16S-V3V4-042-2_S42_L002_R2_001	11575.0	97805.0
Bch-16S-V3V4-043-2_S43_L002_R1_001	15994.0	133123.0
Bch-16S-V3V4-043-2_S43_L002_R2_001	14350.0	134767.0
Bch-16S-V3V4-044-2_S44_L002_R1_001	13033.0	115102.0
Bch-16S-V3V4-044-2_S44_L002_R2_001	13028.0	115107.0
Bch-16S-V3V4-045-2_S45_L002_R1_001	13688.0	111357.0
Bch-16S-V3V4-045-2_S45_L002_R2_001	13872.0	111173.0
Bch-16S-V3V4-046-2_S46_L002_R1_001	13778.0	114862.0
Bch-16S-V3V4-046-2_S46_L002_R2_001	13778.0	114862.0
Bch-16S-V3V4-047-2_S47_L002_R1_001	12443.0	93522.0
Bch-16S-V3V4-047-2_S47_L002_R2_001	12047.0	93918.0
Bch-16S-V3V4-048-2_S48_L002_R1_001	13063.0	100881.0
Bch-16S-V3V4-048-2_S48_L002_R2_001	12609.0	101335.0
Bch-16S-V3V4-049-2_S49_L002_R1_001	13612.0	88814.0
Bch-16S-V3V4-049-2_S49_L002_R2_001	11029.0	91397.0
Bch-16S-V3V4-050-2_S50_L002_R1_001	14732.0	120953.0
Bch-16S-V3V4-050-2_S50_L002_R2_001	14251.0	121434.0
Bch-16S-V3V4-051-2_S51_L002_R1_001	14371.0	64760.0
Bch-16S-V3V4-051-2_S51_L002_R2_001	9272.0	69859.0
Bch-16S-V3V4-052-2_S52_L002_R1_001	13195.0	100999.0
Bch-16S-V3V4-052-2_S52_L002_R2_001	12066.0	102128.0
Bch-16S-V3V4-053-2_S53_L002_R1_001	14397.0	114989.0
Bch-16S-V3V4-053-2_S53_L002_R2_001	13263.0	116123.0
Bch-16S-V3V4-054-2_S54_L002_R1_001	10390.0	72122.0
Bch-16S-V3V4-054-2_S54_L002_R2_001	9929.0	72583.0
