Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Bch-16S-V3V4-001-2_S1_L002_R1_001	(1.0, 11.607937396218453)	(2.0, 3.2274341073181474)	(3.0, 1.9981101437575113)	(4.0, 1.317394934084383)	(5.0, 1.0733649532581673)	(6.0, 0.8476830912910654)	(7.0, 0.866948616093135)	(8.0, 0.6898892691026852)	(9.0, 0.6687889324147042)	('>10', 16.146344596020292)	('>50', 7.041090612184986)	('>100', 26.91577296037724)	('>500', 11.506105336550371)	('>1k', 16.093135051328865)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-001-2_S1_L002_R2_001	(1.0, 6.513582194985459)	(2.0, 2.172417272919094)	(3.0, 1.5494986376521747)	(4.0, 1.2623505775070412)	(5.0, 1.1329963395502876)	(6.0, 0.7926387347137234)	(7.0, 0.5265910112565709)	(8.0, 0.6385145362971661)	(9.0, 0.5366824766290836)	('>10', 12.933588983789438)	('>50', 7.28970762272598)	('>100', 19.408640129170756)	('>500', 2.391677293285506)	('>1k', 42.851114189517716)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-002-2_S2_L002_R1_001	(1.0, 7.496962504591563)	(2.0, 2.469554406487525)	(3.0, 1.587267949478681)	(4.0, 1.1302308496510411)	(5.0, 0.9077166511259924)	(6.0, 0.7417139950834958)	(7.0, 0.7219349552146026)	(8.0, 0.6555338927976039)	(9.0, 0.6675425955751462)	('>10', 16.278856206380155)	('>50', 9.144980362238988)	('>100', 24.78808171569043)	('>500', 16.123449464553136)	('>1k', 17.286174451131643)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-002-2_S2_L002_R2_001	(1.0, 6.351190980757821)	(2.0, 2.1474386143369784)	(3.0, 1.4219716877172162)	(4.0, 1.1839168150094657)	(5.0, 0.8723969370743976)	(6.0, 0.847673137238281)	(7.0, 0.7071006753129326)	(8.0, 0.68378966403888)	(9.0, 0.6802576926337204)	('>10', 11.955016812183889)	('>50', 6.985533045124466)	('>100', 23.692464185809953)	('>500', 4.090729281455737)	('>1k', 38.38052047130626)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-003-2_S3_L002_R1_001	(1.0, 6.1416698647976995)	(2.0, 2.067355785261754)	(3.0, 1.5099372746890474)	(4.0, 1.2331154409960552)	(5.0, 1.1009959294607636)	(6.0, 0.9776843853611581)	(7.0, 0.8543728412615526)	(8.0, 0.7952336313362316)	(9.0, 0.787054804431666)	('>10', 15.04967064493196)	('>50', 7.518229346889214)	('>100', 24.52704360573021)	('>500', 17.408947636633595)	('>1k', 20.02868880821909)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-003-2_S3_L002_R2_001	(1.0, 5.248290310606681)	(2.0, 1.7553020818260174)	(3.0, 1.3891422927139236)	(4.0, 1.3086123047305076)	(5.0, 1.03808187634872)	(6.0, 1.0796051514026688)	(7.0, 0.7574851994690054)	(8.0, 0.573776164381838)	(9.0, 0.5662264780083928)	('>10', 11.037012337445816)	('>50', 7.740315954374728)	('>100', 26.119398289996038)	('>500', 5.417529113478078)	('>1k', 35.96922244521758)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-004-2_S4_L002_R1_001	(1.0, 7.660535781809015)	(2.0, 2.5034177178370935)	(3.0, 1.7132219625941691)	(4.0, 1.1906262422555969)	(5.0, 0.877456636189996)	(6.0, 0.8551566332813)	(7.0, 0.8347957610603166)	(8.0, 0.5817392063138095)	(9.0, 0.7417174880501072)	('>10', 18.05621539863679)	('>50', 8.787170711370093)	('>100', 28.037890613637906)	('>500', 15.526619416515578)	('>1k', 12.633436430448231)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-004-2_S4_L002_R2_001	(1.0, 7.1679965871299895)	(2.0, 2.3676785696972047)	(3.0, 1.5910567292682691)	(4.0, 1.163478412627619)	(5.0, 0.9792609972949127)	(6.0, 0.796982712649919)	(7.0, 0.5633174647805389)	(8.0, 0.566226160812108)	(9.0, 0.5933739904400857)	('>10', 13.31310173649153)	('>50', 9.410601227469725)	('>100', 22.451255102337623)	('>500', 2.607161209629723)	('>1k', 36.42850909937076)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-005-2_S5_L002_R1_001	(1.0, 7.22543108900038)	(2.0, 2.5633458408870524)	(3.0, 1.4798262995910452)	(4.0, 1.1062860997512542)	(5.0, 0.9359585142712593)	(6.0, 0.6779375184451284)	(7.0, 0.6964880475568109)	(8.0, 0.6408364602217631)	(9.0, 0.5463974029259243)	('>10', 17.31860533749315)	('>50', 7.455626291158987)	('>100', 25.561785910029933)	('>500', 17.643239596947595)	('>1k', 16.14823559171972)	('>5k', 0.0)	('>10k+', 0.0)
Bch-16S-V3V4-005-2_S5_L002_R2_001	(1.0, 7.17821156035246)	(2.0, 2.264850963362705)	(3.0, 1.5380075045322315)	(4.0, 1.3019098612926348)	(5.0, 0.9317424849276951)	(6.0, 0.7538260466292845)	(7.0, 0.6433660778279017)	(8.0, 0.6745646949702769)	(9.0, 0.6222859311100806)	('>10', 12.902736203043974)	('>50', 8.314009865508663)	('>100', 20.29933808339306)	('>500', 4.767485981702432)	('>1k', 37.8076647413466)	('>5k', 0.0)	('>10k+', 0.0)
