Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Bch-16S-V3V4-001-2_S1_L002_R1_001	Bch-16S-V3V4-001-2_S1_L002_R1_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109003.0	27.2 Mbp	0.0	35-251	54.0	15.870205407190626	250.3785767364201	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-001-2_S1_L002_R2_001	Bch-16S-V3V4-001-2_S1_L002_R2_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109003.0	27.2 Mbp	0.0	35-251	51.0	9.867618322431493	250.23948882140857	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-002-2_S2_L002_R1_001	Bch-16S-V3V4-002-2_S2_L002_R1_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141564.0	35.2 Mbp	0.0	35-251	55.0	11.122177954847277	249.34498177502755	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-002-2_S2_L002_R2_001	Bch-16S-V3V4-002-2_S2_L002_R2_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	141564.0	35.2 Mbp	0.0	35-251	52.0	9.563872170890903	249.05937950326353	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-003-2_S3_L002_R1_001	Bch-16S-V3V4-003-2_S3_L002_R1_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158947.0	39 Mbp	0.0	35-251	54.0	9.652903168980856	245.78186439504992	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-003-2_S3_L002_R2_001	Bch-16S-V3V4-003-2_S3_L002_R2_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158947.0	39 Mbp	0.0	35-251	52.0	8.292701340698471	245.5131144343712	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-004-2_S4_L002_R1_001	Bch-16S-V3V4-004-2_S4_L002_R1_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103139.0	25.7 Mbp	0.0	35-251	55.0	11.493227586073164	249.7063477443062	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-004-2_S4_L002_R2_001	Bch-16S-V3V4-004-2_S4_L002_R2_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103139.0	25.7 Mbp	0.0	35-251	52.0	10.630314430041013	249.43535423069838	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-005-2_S5_L002_R1_001	Bch-16S-V3V4-005-2_S5_L002_R1_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118595.0	29.5 Mbp	0.0	35-251	54.0	10.863021206627597	249.23560858383576	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
Bch-16S-V3V4-005-2_S5_L002_R2_001	Bch-16S-V3V4-005-2_S5_L002_R2_001.fastq_10perc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118595.0	29.5 Mbp	0.0	35-251	51.0	10.583920064083646	249.10669927062693	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
