Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Bch-16S-V3V4-001-2_S1_L002_R1_001	84.12979459280938	54.0	250.3785767364201	251	36.36363636363637	0.10900299999999999
Bch-16S-V3V4-001-2_S1_L002_R2_001	90.1323816775685	51.0	250.23948882140857	250	36.36363636363637	0.10900299999999999
Bch-16S-V3V4-002-2_S2_L002_R1_001	88.87782204515273	55.0	249.34498177502755	251	36.36363636363637	0.141564
Bch-16S-V3V4-002-2_S2_L002_R2_001	90.4361278291091	52.0	249.05937950326353	250	36.36363636363637	0.141564
Bch-16S-V3V4-003-2_S3_L002_R1_001	90.34709683101914	54.0	245.78186439504992	251	36.36363636363637	0.158947
Bch-16S-V3V4-003-2_S3_L002_R2_001	91.70729865930153	52.0	245.5131144343712	250	36.36363636363637	0.158947
Bch-16S-V3V4-004-2_S4_L002_R1_001	88.50677241392684	55.0	249.7063477443062	251	36.36363636363637	0.103139
Bch-16S-V3V4-004-2_S4_L002_R2_001	89.36968556995899	52.0	249.43535423069838	250	36.36363636363637	0.103139
Bch-16S-V3V4-005-2_S5_L002_R1_001	89.1369787933724	54.0	249.23560858383576	251	36.36363636363637	0.11859499999999999
Bch-16S-V3V4-005-2_S5_L002_R2_001	89.41607993591636	51.0	249.10669927062693	250	36.36363636363637	0.11859499999999999
Bch-16S-V3V4-006-2_S6_L002_R1_001	89.69434676764945	55.0	249.25662506279224	251	36.36363636363637	0.12939499999999998
Bch-16S-V3V4-006-2_S6_L002_R2_001	90.6387418370107	52.0	248.98649097724024	250	36.36363636363637	0.12939499999999998
Bch-16S-V3V4-007-2_S7_L002_R1_001	91.04835036116353	55.0	245.48041257239538	251	36.36363636363637	0.15367
Bch-16S-V3V4-007-2_S7_L002_R2_001	92.03553068263162	52.0	245.07191384134833	250	36.36363636363637	0.15367
Bch-16S-V3V4-008-2_S8_L002_R1_001	86.2531865819609	55.0	249.58157649819933	251	36.36363636363637	0.098852
Bch-16S-V3V4-008-2_S8_L002_R2_001	90.58289159551653	51.0	249.36923886213734	250	45.45454545454545	0.098852
Bch-16S-V3V4-009-2_S9_L002_R1_001	88.73066042678029	55.0	249.36770509551917	251	36.36363636363637	0.114532
Bch-16S-V3V4-009-2_S9_L002_R2_001	90.27520692906786	52.0	249.11890126776797	250	36.36363636363637	0.114532
Bch-16S-V3V4-010-2_S10_L002_R1_001	89.48254555407188	54.0	249.40569457000439	251	36.36363636363637	0.120571
Bch-16S-V3V4-010-2_S10_L002_R2_001	89.82425292980899	51.0	249.23587761567873	250	36.36363636363637	0.120571
Bch-16S-V3V4-011-2_S11_L002_R1_001	84.49530333696612	54.0	249.9777777777778	251	36.36363636363637	0.096345
Bch-16S-V3V4-011-2_S11_L002_R2_001	90.20499247495978	52.0	249.8362239867144	250	36.36363636363637	0.096345
Bch-16S-V3V4-012-2_S12_L002_R1_001	85.89067911459118	54.0	249.55400434530083	251	36.36363636363637	0.046487
Bch-16S-V3V4-012-2_S12_L002_R2_001	86.5790436035881	51.0	249.49007249338524	250	36.36363636363637	0.046487
Bch-16S-V3V4-013-2_S13_L002_R1_001	88.43257817380726	55.0	249.92332226350572	251	36.36363636363637	0.121652
Bch-16S-V3V4-013-2_S13_L002_R2_001	90.2812941834084	52.0	249.97948245815934	250	36.36363636363637	0.121652
Bch-16S-V3V4-014-2_S14_L002_R1_001	88.65487549453107	55.0	249.76808238305796	251	36.36363636363637	0.08594
Bch-16S-V3V4-014-2_S14_L002_R2_001	89.14009774261112	52.0	249.7320339771934	250	36.36363636363637	0.08594
Bch-16S-V3V4-015-2_S15_L002_R1_001	89.43960979717875	54.0	249.7327180854797	251	36.36363636363637	0.113992
Bch-16S-V3V4-015-2_S15_L002_R2_001	90.15808126886097	51.0	249.51919432942663	250	36.36363636363637	0.113992
Bch-16S-V3V4-016-2_S16_L002_R1_001	89.31635599460564	54.0	249.9177029296665	251	36.36363636363637	0.12086699999999999
Bch-16S-V3V4-016-2_S16_L002_R2_001	90.36792507466885	51.0	249.90549943326135	250	36.36363636363637	0.12086699999999999
Bch-16S-V3V4-017-2_S17_L002_R1_001	89.64201967292993	54.0	249.83248317446782	251	36.36363636363637	0.131348
Bch-16S-V3V4-017-2_S17_L002_R2_001	90.30818893321558	51.0	249.85842190212261	250	36.36363636363637	0.131348
Bch-16S-V3V4-018-2_S18_L002_R1_001	88.59376275244166	54.0	249.40108639467505	251	36.36363636363637	0.110273
Bch-16S-V3V4-018-2_S18_L002_R2_001	90.39202706011444	51.0	249.24631596129606	250	36.36363636363637	0.110273
Bch-16S-V3V4-019-2_S19_L002_R1_001	89.0957662836978	54.0	249.23663143834443	251	36.36363636363637	0.110801
Bch-16S-V3V4-019-2_S19_L002_R2_001	90.62463335168455	52.0	249.0550265791825	250	36.36363636363637	0.110801
Bch-16S-V3V4-020-2_S20_L002_R1_001	89.5424063964235	54.0	249.08286764389803	251	36.36363636363637	0.093052
Bch-16S-V3V4-020-2_S20_L002_R2_001	90.14959377552336	52.0	248.82343205949363	250	36.36363636363637	0.093052
Bch-16S-V3V4-021-2_S21_L002_R1_001	87.36485449242308	54.0	250.05211737099498	251	36.36363636363637	0.091198
Bch-16S-V3V4-021-2_S21_L002_R2_001	90.02938660935547	52.0	250.03489111603324	250	36.36363636363637	0.091198
Bch-16S-V3V4-022-2_S22_L002_R1_001	90.02316510582692	55.0	249.63296176767577	251	36.36363636363637	0.10101399999999999
Bch-16S-V3V4-022-2_S22_L002_R2_001	89.94693804819134	52.0	249.42247609242284	250	36.36363636363637	0.10101399999999999
Bch-16S-V3V4-023-2_S23_L002_R1_001	91.0413884256344	54.0	249.08942695610654	251	36.36363636363637	0.144509
Bch-16S-V3V4-023-2_S23_L002_R2_001	91.22546000595119	52.0	248.85536540976688	250	36.36363636363637	0.144509
Bch-16S-V3V4-024-2_S24_L002_R1_001	88.60710166162671	54.0	249.43735386725692	251	36.36363636363637	0.064154
Bch-16S-V3V4-024-2_S24_L002_R2_001	88.04283442965365	50.0	249.54121333042366	250	36.36363636363637	0.064154
Bch-16S-V3V4-025-2_S25_L002_R1_001	91.87562118415448	55.0	225.710057267263	251	36.36363636363637	0.10564499999999999
Bch-16S-V3V4-025-2_S25_L002_R2_001	91.98636944483884	52.0	225.39964977045767	250	36.36363636363637	0.10564499999999999
Bch-16S-V3V4-026-2_S26_L002_R1_001	90.13511012400518	54.0	249.0236422599361	251	36.36363636363637	0.12426899999999999
Bch-16S-V3V4-026-2_S26_L002_R2_001	90.11177365231876	51.0	248.84547232213987	250	36.36363636363637	0.12426899999999999
Bch-16S-V3V4-027-2_S27_L002_R1_001	89.17032396541344	54.0	249.2093778084128	251	36.36363636363637	0.11461099999999999
Bch-16S-V3V4-027-2_S27_L002_R2_001	89.15200111682125	51.0	249.23559693223163	250	36.36363636363637	0.11461099999999999
Bch-16S-V3V4-028-2_S28_L002_R1_001	88.9023197372502	54.0	250.25596634512155	251	36.36363636363637	0.125747
Bch-16S-V3V4-028-2_S28_L002_R2_001	89.0915886661312	51.0	250.29596729941866	250	36.36363636363637	0.125747
Bch-16S-V3V4-029-2_S29_L002_R1_001	87.82654076036118	54.0	250.03513297950906	251	27.27272727272727	0.101557
Bch-16S-V3V4-029-2_S29_L002_R2_001	88.11800269799227	52.0	249.993885207322	250	36.36363636363637	0.101557
Bch-16S-V3V4-030-2_S30_L002_R1_001	86.65892124388193	54.0	249.71528155435803	251	36.36363636363637	0.080908
Bch-16S-V3V4-030-2_S30_L002_R2_001	86.45127799475948	52.0	249.75290453354427	250	36.36363636363637	0.080908
Bch-16S-V3V4-031-2_S31_L002_R1_001	80.26484513710791	55.0	250.34232590254487	251	45.45454545454545	0.081104
Bch-16S-V3V4-031-2_S31_L002_R2_001	88.46789307555731	52.0	250.32621079108304	250	36.36363636363637	0.081104
Bch-16S-V3V4-032-2_S32_L002_R1_001	88.03050950480878	54.0	250.11355771021852	251	36.36363636363637	0.102001
Bch-16S-V3V4-032-2_S32_L002_R2_001	88.0648228938932	51.0	250.18699816668465	250	36.36363636363637	0.102001
Bch-16S-V3V4-033-2_S33_L002_R1_001	88.56912342296815	55.0	250.22758021473345	251	27.27272727272727	0.11279099999999999
Bch-16S-V3V4-033-2_S33_L002_R2_001	89.45039941130055	52.0	250.21917528880851	250	36.36363636363637	0.11279099999999999
Bch-16S-V3V4-034-2_S34_L002_R1_001	88.70669111719421	54.0	250.26279887669315	251	27.27272727272727	0.112881
Bch-16S-V3V4-034-2_S34_L002_R2_001	88.89095596247375	51.0	250.26799018435344	250	36.36363636363637	0.112881
Bch-16S-V3V4-035-2_S35_L002_R1_001	86.2350675814623	55.0	250.20065057673253	251	36.36363636363637	0.106982
Bch-16S-V3V4-035-2_S35_L002_R2_001	88.36346301246938	52.0	250.21646632143725	250	36.36363636363637	0.106982
Bch-16S-V3V4-036-2_S36_L002_R1_001	88.48386153910393	55.0	250.0323604325859	251	27.27272727272727	0.09579599999999999
Bch-16S-V3V4-036-2_S36_L002_R2_001	88.30848887218673	52.0	249.99129399974947	250	36.36363636363637	0.09579599999999999
Bch-16S-V3V4-037-2_S37_L002_R1_001	81.95250980511386	54.0	250.3541596992085	251	36.36363636363637	0.098673
Bch-16S-V3V4-037-2_S37_L002_R2_001	88.01394505082445	51.0	250.33643448562424	250	36.36363636363637	0.098673
Bch-16S-V3V4-038-2_S38_L002_R1_001	88.82404991837917	54.0	249.9911742718965	251	36.36363636363637	0.131094
Bch-16S-V3V4-038-2_S38_L002_R2_001	90.14676491677727	51.0	249.90866096083727	250	36.36363636363637	0.131094
Bch-16S-V3V4-039-2_S39_L002_R1_001	88.6141128429859	53.0	249.97551914745281	251	36.36363636363637	0.100405
Bch-16S-V3V4-039-2_S39_L002_R2_001	89.16089836163538	50.0	249.91476520093622	250	36.36363636363637	0.100405
Bch-16S-V3V4-040-2_S40_L002_R1_001	87.61000010292408	54.0	250.0281291491267	251	36.36363636363637	0.097159
